Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
  NisSrv.exe	0.01	32 864 K	19 312 K	4836	Microsoft Network Realtime Inspection Service	Microsoft Corporation
  mobile_backup_server.exe	0.02	17 252 K	13 504 K	1064	Acronis Mobile Backup Server	Acronis International GmbH
  mobile_backup_status_server.exe	0.03	10 384 K	17 548 K	1108		
  syncagentsrv.exe	< 0.01	8 752 K	18 396 K	5176		
  SearchIndexer.exe	0.24	118 088 K	104 192 K	5300	Индексатор службы Microsoft Windows Search	Microsoft Corporation
   SearchProtocolHost.exe		1 492 K	6 612 K	6560	Microsoft Windows Search Protocol Host	Microsoft Corporation
   SearchFilterHost.exe		1 288 K	5 704 K	5452	Microsoft Windows Search Filter Host	Microsoft Corporation
  svchost.exe		6 380 K	17 648 K	10776	Хост-процесс для служб Windows	Microsoft Corporation
  msdtc.exe		3 212 K	7 756 K	7252	Координатор распределенных транзакций (Майкрософт)	Microsoft Corporation
  svchost.exe		6 236 K	17 260 K	7116	Хост-процесс для служб Windows	Microsoft Corporation
  svchost.exe		6 332 K	16 068 K	692	Хост-процесс для служб Windows	Microsoft Corporation
  firebird.exe		21 226 348 K	191 904 K	8964	Firebird SQL Server	Firebird Project
  sppsvc.exe		3 376 K	14 036 K	21112	Служба платформы защиты программного обеспечения Майкрософт	Microsoft Corporation
  svchost.exe		2 136 K	8 824 K	7928	Хост-процесс для служб Windows	Microsoft Corporation
 lsass.exe	4.27	12 124 K	20 028 K	888	Local Security Authority Process	Microsoft Corporation
GoogleCrashHandler.exe		1 412 K	1 096 K	2784	Google Crash Handler	Google Inc.
GoogleCrashHandler64.exe		1 384 K	292 K	3472	Google Crash Handler	Google Inc.
csrss.exe	< 0.01	1 612 K	43 452 K	10700	Процесс исполнения клиент-сервер	Microsoft Corporation
winlogon.exe		2 164 K	8 248 K	11820	Программа входа в систему Windows	Microsoft Corporation
 dwm.exe	< 0.01	37 632 K	38 016 K	8796	Диспетчер окон рабочего стола	Microsoft Corporation
 fontdrvhost.exe		916 K	2 544 K	16984	Usermode Font Driver Host	Microsoft Corporation
explorer.exe	< 0.01	62 288 K	112 608 K	284	Проводник	Microsoft Corporation
 schedhlp.exe	< 0.01	1 452 K	8 316 K	7352		
 KeyboardLeds.exe	< 0.01	38 288 K	444 K	10572	Keyboard LEDs	KARPOLAN
 procexp.exe		2 564 K	8 460 K	13552	Sysinternals Process Explorer	Sysinternals - www.sysinternals.com
  procexp64.exe	0.05	212 816 K	215 016 K	572	Sysinternals Process Explorer	Sysinternals - www.sysinternals.com
 HWMonitor.exe	0.12	9 456 K	18 608 K	1588	HWMonitor	CPUID
TibMounterMonitor.exe		1 176 K	5 028 K	2984	Acronis TIB Mounter Monitor	Acronis International GmbH
TrueImageMonitor.exe	0.02	14 644 K	32 336 K	2416		
cmd.exe		1 952 K	3 524 K	10920	Обработчик команд Windows	Microsoft Corporation
 conhost.exe		13 656 K	17 496 K	1944	Console Window Host	Microsoft Corporation
NOCLOSE64.EXE		412 K	1 732 K	10136		
 cmd.exe		1 976 K	3 532 K	8564	Обработчик команд Windows	Microsoft Corporation
  conhost.exe		17 304 K	20 052 K	12204	Console Window Host	Microsoft Corporation
csrss.exe	< 0.01	1 636 K	49 676 K	3640	Процесс исполнения клиент-сервер	Microsoft Corporation
